no_board,time,gas_smoke,temperature,humidity,lat,long,proba,is_fire
1,2023-08-08 14:19:00,25519.862,35.059999999999995,60.06,13.677305555555558,100.45544444444445,0.0029728697,0.0
1,2023-08-08 14:20:00,8002.23,34.7,61.4,13.677305555555556,100.45544444444445,0.022347772,0.0
1,2023-08-08 14:31:00,5433.334722222222,32.09166666666667,67.64722222222223,13.677305555555556,100.45544444444445,0.0007411934,0.0
1,2023-08-08 14:32:00,5250.635166666666,32.150000000000006,67.54,13.677305555555556,100.45544444444445,0.000272806,0.0
1,2023-08-08 14:33:00,5559.23,32.2,67.7,13.677305555555556,100.45544444444445,0.00018399842,0.0
1,2023-08-08 14:34:00,5559.23,32.2,67.7,13.677305555555556,100.45544444444445,0.00018057073,0.0
1,2023-08-08 14:41:00,517.9635294117646,35.11176470588235,59.3235294117647,13.677305555555556,100.45544444444445,0.0022184628,0.0
1,2023-08-08 14:42:00,712.9693333333332,35.39333333333333,58.55333333333333,13.677305555555556,100.45544444444445,0.0002379899,0.0
1,2023-08-08 14:43:00,527.4473333333333,34.593333333333334,60.71333333333334,13.677305555555556,100.45544444444445,0.0003602519,0.0
1,2023-08-08 14:44:00,1091.8864285714287,34.364285714285714,61.55952380952381,13.677305555555554,100.45544444444447,0.0042721285,0.0
1,2023-08-08 14:45:00,1215.4066666666668,34.43333333333333,61.27777777777778,13.677305555555556,100.45544444444445,0.0021912328,0.0
1,2023-08-08 14:46:00,1308.9388235294118,34.84117647058823,60.68235294117647,13.677305555555556,100.45544444444445,0.49762562,1.0
1,2023-08-08 14:47:00,513.0721052631579,34.33157894736843,62.194736842105264,13.677305555555558,100.45544444444445,0.6793855,1.0
1,2023-08-08 14:48:00,783.9238461538462,34.51538461538461,61.93076923076923,13.677305555555556,100.45544444444445,0.08481268,0.07692307692307693
1,2023-08-08 14:49:00,436.0,34.1,62.75,13.677305555555556,100.45544444444445,0.14041275,0.0
2,2023-08-08 12:30:00,396698.26583333337,34.483333333333334,50.574999999999996,13.67736111111111,100.45544444444447,0.06278406,0.0
2,2023-08-08 12:31:00,411215.93000000005,34.40909090909091,50.58181818181818,13.67736111111111,100.45544444444445,0.1448885,0.0
2,2023-08-08 12:32:00,357307.75375,34.2,50.775,13.67736111111111,100.45544444444445,0.0924098,0.0
2,2023-08-08 12:33:00,368094.984,34.12666666666667,50.879999999999995,13.67736111111111,100.45544444444445,0.8406504,1.0
2,2023-08-08 12:34:00,359629.3221052632,33.89473684210526,51.22105263157895,13.67736111111111,100.45544444444445,0.8767784,1.0
2,2023-08-08 12:35:00,533424.8795238095,33.923809523809524,51.54761904761905,13.67736111111111,100.45544444444447,0.015191977,0.0
